ID;Œntrebare;Var_A;Var_B;Var_C;Var_D;Var_E;Raspuns_Corect;Categorie;Punctaj
5956;La releele de distanta, tip RD 110, urmatoarele afirmatii sunt adevarate;treapta a IV- a asigura declansarea numai in baza demarajului si nu este in functie de distanta;elemental de timp T are rol de marire succesiva a domeniului de masurare, pana cand defectul este eliminat;treapta a V- a comanda declansarea numai ca urmare a demarajului, fiind dependenta de directie;treapta a V-a poate fi directionata sau nu, in functie de pozitia eclisei L2;elemental de timp dispune de cinci trepte de timp cu reglaj continuu intre 0 si 10 secunde;ABE;PROFESIONALA;3
5957;Releul FRC-2a de protectie alimentatde de la 3 transformatoare de curent functioneaza ca;filtru de secventa inversa;filtru de secventa inversa si homopolara;filtru de armonici superioare(150 Hz);-;-;A;PROFESIONALA;2
6022;La releul de distanta D114 urmatoarele afirmatii despre elementul de masurare a impedantei de defect M sunt adevarate:;fisa K de pe panoul frontal poate modifica de la simplu la dublu impedanta elementului de masurare a impedantei.;reglajul factorului de pamant se obtine prin intermediul fisei n de pe panoul frontal al releului.;unghiul de sensibilitate maxima a elementului de masurare a impedantei este de 30 de grade capacitiv;in functie de tipul liniei si unghiul de scurtcircuit, se alege deplasarea centrului cercului caracteristicii elementului de masurare;-;ABD;PROFESIONALA;6
6023;Referitor la releul RD 110 urmatoarele afirmatii sunt adevarate :;are 3 trepte de masura a impedantei 2 fiind directionate in fata si una in spate;are 3 trepte de impedanta , toate 3 putand fi orientate fie in fata fie in spate;are 4 trepte de impedanta;treapta a 4 a poate fi directionata sau nedirectionata;treapta 5 poate fi directionata sau nedirectionata;BD;PROFESIONALA;2
6024;Care sunt performantele impuse functionarii protectiilor prin relee;rapiditatea;selectivitate;siguranta;sensibilitatea;independenta fata de conditiile exploatarii;ABCDE;PROFESIONALA;2
6025;Care din urmatoarele tipuri de defecte pot avea loc in retelele electrice:;scurtcircuitele de toate tipurile;simpla sau dubla punere la pamant in retele cu curenti mici de punere la pamant;intreruperea unei faze cu scurtcircuit monofazat;-;-;ABC;PROFESIONALA;5
6026;Care din urmatoarele perturbatii din sistemele electroenergetice sunt regimuri anormale:;"supraintensitatile;";"pendularile;";"scurtcircuitele;";"punerile la pamant in retele cu curenti mici de punere la pamant;";intreruperea unei faze.;AB;PROFESIONALA;6
6027;Coeficientul de saturatie - n - la TC este:;"mai mic pentru clasa de masura fata de clasa de protectie;";"mai mare la clasa de masura fata de clasa de protectie;";acelasi pentru toate infasurarile secundare.;-;-;A;PROFESIONALA;2
6028;Pentru desensibilizarea protectiei diferentiale longitudinale a transformatorului fata de socurile curentului de magnetizare, se poate proceda in mai multe moduri :;"utilizarea transformatoare cu saturatie rapida ;";"utilizare transformatoare de egalizare ( TIS -uri ) ;";blocarea protectiei fata de armonicele superioare ale curentului de magnetizare.;-;-;AC;PROFESIONALA;3
6029;in ce regim functioneaza trafo de masura de tensiune?;"apropiat de mers in gol;";"mers in sarcina, infasurarea secundara alimentand aparatele de masurat si protectie;";mers in scurtcircuit.;-;-;AB;PROFESIONALA;5
6030;Semnalizare gaze pe un trafo apare la:;"degajari lente de gaze;";"scaderea uleiului in conservator;";scaderea uleiului din releul de gaze.;-;-;AC;PROFESIONALA;2
6031;Secundarele transformatoarelor de curent functioneaza cu:;"infasurarea secundara legata in scurtcircuit;";"infasurarea secundara in gol;";aparataj secundar conectat in secundar.;-;-;AC;PROFESIONALA;2
6032;Suprasarcina este un regim anormal de functionare care poate avea urmatoarele efecte:;incalzirea elementului prin care circula curentul de suprasarcina, la o temperatura mai mare decat cea admisibila;caderi de tensiune;declansare prin protectia diferentiala;-;-;AB;PROFESIONALA;2
6035;Elementele componente ale unei protectii de distanta electromecanica sau statica trebuie sa indeplineasca urmatoarele conditii:;Sa ramana insesnibila la suprasarcini;Sa ramana insensibila la pendulari;Sa actioneze corect la regimuri diferite de functionare a retelei;-;-;ABC;PROFESIONALA;2
6037;La verificarea protectiilor de distanta cu un singur element de masura a impedantelor este necesar:;"sa se verifice complet pentru toate tipurile de scurtcircuite (R-0;S-0;T-0;R-S;S-T;R-T) numai pentru trecerea din treapta I in treapta II;";"pentru trecerea din treapta II in treapta III este suficienta verificarea pentru un singur tip de scurtcircuit;";"verificarea sa fie completa si se face pentru toate tipurile de scurtcircuite (R-0;S-0;T-0 R-S; S-T; R-T) si pentru toate trecerile dintre trepte;";"valorile masurate pentru fiecare punct de trecere in treapta superioara sa nu depaseasca eroarea maxima mentionata in documentatia tehnica a echipamentului;";sa se determine impedantele de trecere corespunzatoare unghiului de scurtcircuit reglat;ABD;PROFESIONALA;3
6272;In cadrul regimurilor anormale care pot aparea in exploatarea retelelor electrice de inalta tensiune, urmatoarele afirmatii sunt corecte:;"supracurentii pot fi provocati de scurtcircuite sau de aparitia unor suprasarcini;";"pendularile pot aparea din cauza unor scurtcircuite lichidate prea tarziu, deconectarii unor linii de interconexiune care duc la iesirea din sincronism a centralelor care functioneaza in paralel;";"in timpul pendularilor circula curenti de egalizare prin liniile ce leaga centralele ce pot depasi valorile de pornire a protectiilor si pot duce la actionari neselective;";dispozitivele de blocare la pendulari se bazeaza pe faptul ca in cazul pendularilor apar componente de secventa inversa sau homopolara.;-;ABC;PROFESIONALA;2
6273;Rolul bobinei de stingere intr-o retea de 20 kV este:;micsorarea supratensiunilor care apar in cazul punerilor la pamant;compensarea curentului capacitiv la locul de defect;debiteaza curent capacitiv catre locul de defect;debiteaza curent inductiv catre locul de defect;debiteaza curent de armonici impare ce ajuta la functionarea protectiilor sensibile la armonicile impare de curent;BD;PROFESIONALA;2
6274;Referitor la schemele de conectare ale secundarelor transformatoarelor de curent pentru alimentarea circuitelor de protectie, urmatoarele afirmatii sunt adevarate:;la schema de conectare a secundarelor in stea releul de curent montat pe conductorul neutru este sensibil doar la defectele asimetrice;la o conectare in triunghi a secundarelor transformatoarelor de curent prin releele montate pe faze circula un curent de 1,73 ori mai mare;la schema de conectare a secundarelor in stea pe faze circula curentii care fac ca releele montate pe faze sa fie sensibile numai la scurtcircuitul monofazat;o conectare in triunghi deschis a secundarelor transformatoarelor de curent anuleaza curentii de secventa homopolara;-;AB;PROFESIONALA;5
6275;Intr-un circuit electric de curent alternativ de distributie de joasa tensiune ce are conexiunea in stea si tensiunea dintre doua faze de 0,4 kV, urmatoarele afirmatii sunt adevarate;tensiunea de faza este 220 V;tensiunea de linie este 400 V;tensiunea de faza este 230 V;tensiunea de linie este 380 V;curentul de linie este egal cu cel de faza;BCE;PROFESIONALA;2
6276;Despre puterea activa (P) masurata in retelele electrice de curent alternativ, urmatoarele consideratii sunt adevarate:;"puterea activa are valoare minima (nula) atunci cand cosinusul unghiului de defazaj este egal cu 0 (zero);";"puterea activa este cu atat mai mare cu cat unghiul de defazaj dintre curent si tensiune este mai mic;";"puterea activa este cu atat mai mare cu cat cosinusul unghiului de defazat este mai mare;";puterea activa are valoare minima (nula) cand unghiul de defazaj dintre curent si tensiune este de 90 de grade.;-;ABCD;PROFESIONALA;2
6277;Accelerarea protectiei dupa functionarea RAR se constata ca a functionat corect in urmatoarele cazuri:;"prima declansare se face rapid, dar neselectiv pentru intreaga zona protejata, iar dupa actionarea RAR , daca defectul persista , protectia actioneaza selectiv ;";"prima declansare se face temporizat, iar dupa functionarea RAR daca defectul persista protectia actioneaza rapid pentru intreaga zona protejata;";protectia elimina defectul cu timp zero ( se sunteaza releul de timp ) si RAR este blocat.;-;-;B;PROFESIONALA;2
6278;Aparitia curentului homopolar prin releul de blocaj la disparitia tensiunilor (RBDT) are urmatorul rol:;blocarea functionarii protectiei de distanta;conditii pentru functionarea protectiei de distanta indiferent de situatia sistemului trifazat de tensiuni cu care este alimentata protectia de distanta;blocarea functionarii protectiei de distanta daca dispar una, doua sau toate trei tensiunile alternative cu care este alimentata protectia de distanta;conditii pentru blocarea protectiei de distanta daca exista perturbatii in sistemul de tensiuni trifazat cu care este alimentata protectia de distanta;-;B;PROFESIONALA;2
6279;Blocajul voltmetric al protectiei maximale de curent are rolul:;Impiedica actionarea protectiei maximale la supasarcini.;Permite cresterea sensibiltatii protetiei maximale.;Permite cresterea curentului de pornire al protectiei maximale.;-;-;AB;PROFESIONALA;2
6280;Dezavantajele releului de distanta cu caracteristica circulara cu centrul in origine in planul impedantelor sunt:;Nu asigura o functionare corespunzatoare la defecte prin arc electric;Nu asigura o functionare corespunzatoare in cazul scaderii frecventei;Nu asigura o functionare corespunzatoare in cazul pendulatiilor;Nu asigura o functionare corespunzatoare in cazul oscilatiilor de tensiune;Nu permite deosebirea intre regimul de suprasarcina si cel de defect departat, in regim minim, pe liniile electrice lungi si puternic incarcate.;ACE;PROFESIONALA;2
6281;Referitor la protectia de cuva folosita la transformatoarele de putere, urmatoarele afirmatii nu sunt adevarate:;este o protectie contra defectelor interne fara punere la pamant;este o protectie contra defectelor interne insotite de puneri la pamant;actioneaza in cazul scurtcircuitelor intre faze sau intre spire fara punere la pamant;nu este o protectie avantajoasa in retelele cu neutrul legat la pamant ci doar la retelele cu neutrul izolat si curenti capacitivi mici ai retelei;-;ACD;PROFESIONALA;5
6282;Avantajele protectiei de gaze la un transformator de putere sunt:;"actioneaza la defectele din interiorul cuvei;";simplitate si sensibilitate;"posibilitatea actionarii releului de catre fluxul de ulei care se formeaza in transformator, in urma unor scurtcircuite exterioare violente sau in urma pornirii si opririi pompelor din circuitul de ulei al trafo cu racire in circuit inchis;";Rapiditate;-;ABD;PROFESIONALA;2
6283;La verificarea si reglarea protectiei diferentiale longitudinale cu relee RDS-3a la un trafo de putere trebuie sa se tina seama de urmatorii curenti de dezechilibru:;curentii de dezechilibru datorati neidentitatii caracteristicilor magnetice ale transformatoarelor de curent;curentii de dezechilibru datorati curentului de magnetizare care circula numai in primarul transformatorului;curentii de dezechilibru datorati absentei egalizarii curentilor secundari, cind diferenta lnu depaseste 5% sau egalizarii imperfecte a curentilor secundari datorita posibilitatii limitate a dispozitivului de egalizare folosit.;curentii de dezechilibru datorati modificarii raportului de transformare la transformatoarele prevazute cu reglaj sub sarcina;curentii de dezechilibru datorati variatiei curentului de sarcina;ABCD;PROFESIONALA;2
6284;La releul de distanta D114 urmatoarele afirmatii sunt adevarate:;elementul de timp TM este constituit dintr-un dispozitiv de orologie actionat de un motor de curent alternativ, prevazut cu regulator de turatie;fisa Vj situata in interiorul releului serveste la anularea comenzii de declansare cand se verifica releul cu linia in functiune.;pozitia fisei Vj situata in interiorul releului este semnalizata de lampa cu neon LS.;elementul de directie SM este realizat dintr-un releu magnetoelectric .;in planul Z, caracteristica elementului de demaraj de minima impedanta este un cerc avind centrul deplasat in cadranul 1, pe o dreapta inclinata la 66 grade fata de axa R;BE;PROFESIONALA;2
6285;Functionarea releelor de inductie se bazeaza pe;"actiunea reciproca dintre campul unui sistem magnetic fix si curentul care parcurge o bobina mobila ;";"actiunea reciproca dintre fluxurile magnetice variabile in timp create de marimile electrice aplicate releului si curentii indusi de acestea in elementul mobil ( disc sau rotor cilindric ) ;";actiunea cuplului produs asupra unei bobine plasata pe un cadru mobil, parcursa de curent, de catre campul magnetic creat de un magnet permanent ( N-S ).;-;-;B;PROFESIONALA;2
6286;Protectia de suprasarcina a unui transformator 110/M.T. se regleaza in functie de:;"valoarea curentului de magnetizare al transformatorului;";"valoarea curentului de scurtcircuit maxim pe bara de MT;";"valoarea curentului nominal al transformatorului;";cea mai mica valoare a curentului de scurtcircuit ce poate apare in reteaua de MT.;-;C;PROFESIONALA;2
6287;"Eliminarea zonei ""moarte"" a elementului directional din releul de distanta RD 110 se realizeaza prin:";Preorientarea pe pozitia de lucru a elementului Q in directia de declansare permisa a protectiei.;Folosirea caracteristicii de actionare in planul impedantei complexe cu cercul deplasat pe semiaxa + R.;Prin schema de alimentare la 90 de grade.;-;-;A;PROFESIONALA;2
6288;Metoda clasica de detectare a liniei cu simpla punere la pamant prin compararea armonicilor impare de pe fiecare linie, prezinta urmatoarele dezavantaje:;in unele situatii, intre linia defecta cu cel mai mare curent al armonicilor impare(pe care a aparut simpla punere la pamint) si urmatoarea este o diferenta atat de mica incat rezulta de multe ori declansarea liniei sanatoase;datorita consumatorilor deformanti ce genereaza in retea armonici impare(3,5,7) comparative cu ordinul acelor armonici ce apar la o punere la pamint pot genera declansari neselective;metoda clasica de detectare a liniei cu simpla punere la pamint prin compararea armonicilor impare foloseste principiul analizei tuturor curentilor homopolari de linie in corelare cu tensiunea homopolara;-;-;AB;PROFESIONALA;2
6336;Pentru verificarea aptitudinilor salariatului, la incheierea contractului individual de munca se poate stabili o perioada de proba:;de cel mult 90 de zile calendaristice pentru functiile de executie;de cel mult 30 de zile calendaristice pentru functiile de executie;de cel mult 120 de zile calendaristice pentru functiile de conducere;de cel mult 60 de zile calendaristice pentru functiile de executie;de cel mult 90 de zile calendaristice pentru functiile de conducere;AC;LEGISLATIE;2
6337;Locul muncii poate fi modificat prin delegarea sau detasarea salariatului intr-un alt loc de munca decat cel prevazut in contractul individual de munca,;unilateral, de catre angajator;unilateral, de catre salariat;de catre angajator dar cu acordul salariatului;-;-;A;LEGISLATIE;2
6338;Delegarea poate fi dispusa pentru o perioada de cel mult 60 de zile calendaristice in 12 luni si se poate prelungi pentru perioade succesive de maximum 60 de zile calendaristice,;de comun acord angajator - salariat;daca interesele angajatorului sunt motivate temeinic;numai cu acordul salariatului;-;-;C;LEGISLATIE;2
6341;Legea 319/2006 se aplica;in toate sectoarele de activitate, atat publice, cat si private;doar in sectorul public;doar in sectorul privat;-;-;A;LEGISLATIE;2
6342;Fac exceptie de la aplicarea prevederilor Legii 319/2006, in cazurile in care particularitatile inerente ale anumitor activitati specifice vin in contradictie cu prevederile legale, urmatoarele servicii publice:;fortele armate, dar nu si politia;fortele armate sau politia, precum si cazurile de dezastre, inundatii si pentru realizarea masurilor de protectie civila;politia, dar nu si fortele armate;-;-;B;LEGISLATIE;2
6343;Potrivit legislatiei, Reprezentantul lucratorilor cu raspunderi specifice in domeniul securitatii si sanatatii lucratorilor este persoana aleasa, selectata sau desemnata de catre:;lucratori;angajator;sindicat;-;-;A;LEGISLATIE;2
6344;Accidentul de munca este vatamarea violenta a organismului, precum si intoxicatia acuta profesionala, care au loc in timpul procesului de munca sau in indeplinirea indatoririlor de serviciu si care provoaca invaliditate, deces sau incapacitate temporara de munca:;de cel putin 3 zile calendaristice;de cel putin 7 zile calendaristice;de cel mult 3 zile calendaristice;-;-;A;LEGISLATIE;2
6345;Norma de munca, conform Codului Muncii, cuprinde:;Timpul productiv, efectiv realizat;Timpul productiv si timpul pentru intreruperi impuse de desfasurarea procesului tehnologic;Timpul productiv, timpul pentru intreruperile impuse desfasurarea procesului tehnologic, timpul pentru pauzele legale in cadrul procesului de munca;-;-;C;LEGISLATIE;2
6346;Munca suplimentara se compenseaza cu ore libere platite in urmatoarele:;15 zile calendaristice dupa efectuarea acestor ore;30 zile calendaristice dupa efectuarea acestor ore;60 zile calendaristice dupa efectuarea acestor ore;-;-;C;LEGISLATIE;2
6347;Comitetul de securitate si sanatate in munca coordoneaza masurile de securitate si sanatate in munca si in cazul activitatilor care se desfasoara temporar, cu o durata mai mare de:;1 luna;3 luni;6 luni;-;-;B;PROTECTIA MUNCII;3
6498;Schema de principiu de achizitie a semnalelor analogice din lantul de masura dintr-un sistem SCADA realizat cu echipamente numerice contine urmatoarele elemente:;filtrarea;conversia analog numerica;esantionarea si memorarea;-;-;ABC;PROFESIONALA;2
6499;Principalele perturbatii electromagnetice care pot influenta echipamentele numerice de achizitie si control sunt:;trasnetele si descarcarile electrostatice;operatiile de comutare ale intrerupatoarelor si separatoarelor;radiatia electromagnetica a circuitelor;radiatia electromagnetica a liniilor;descarcarea bateriei de acumulatori a statiei;ABCD;PROFESIONALA;3
6500;Principalele echipamente care au de suferit din cauza perturbatiilor electromagnetice sunt:;echipamentele de calcul;echipamentele electronice de protectie, automatizare, masura si control;instalatia de iluminat de siguranta a statiei;-;-;AB;PROFESIONALA;5
6502;Urmatoarele afirmatii despre functia SOTF sunt adevarate:;este o functie de blocaj la pendulatii;este o functie de accelerare a protectiei la conectarea pe defect;este o functie de automatizare similara DAS-f;poate fi activata prin intermediul unui contact al releului de copiere a comenzii manuale de conectarea intreruptorului;este o functie de automatizare similara AAR;BD;PROFESIONALA;2
6503;Regimul de functionare cu pendulatii de putere este caracterizat de:;variatii ale circulatiei de putere ca urmare a alunecarii relative a tensiunilor generatoarelor in diferite puncte din sistem;variatii, numai in modul, ale impedantei masurate de un releu de distanta;sistemul de tensiuni si curenti ramane simetric si echilibrat;-;-;AC;PROFESIONALA;3
6504;Principalele mijloace de realizare a selectivitatii protectiei maximale de curent au la baza urmatoarele metode de discriminare:;in timp;in curent;in directie;in timp si directie;in timp si curent;ABCDE;PROFESIONALA;5
6505;Protectiile de distanta cu schema underreach protection (protectii cu zona redusa) se pot clasifica in urmatoarele tipuri:;permissive underreach protection (protectii cu zona redusa si autorizare);intertriping underreach protection (protectii cu zona redusa si cu teledeclansare);permissive overreach protection (protectii cu zona extinsa si cu autorizare);accelerated underreach protection (protectii cu zona redusa si cu accelerare);-;ABD;PROFESIONALA;6
6506;Protectiile de distanta cu schema overreach protection (protectii cu zona extinsa) se pot clasifica in urmatoarele tipuri:;permissive overreach protection (protectii cu zona extinsa si cu autorizare);permissive underreach protection (protectii cu zona redusa si autorizare);blocking overreach protection (protectii cu zona extinsa si cu blocare);deblocking overreach protection (protectii cu zona extinsa si cu deblocare);-;ACD;PROFESIONALA;2
6507;Care din urmatoarele afirmatii referitoare la conditiile ce trebuie satisfacute de o buna protectie de distanta sunt false?;sa sesizeze defectul in orice loc de pe linia protejata;sa ramana sensibila la suprasarcini;sa ramana sensibila la pendulari in sistem;sa sesizeze defectele prin arc electric;-;BC;PROFESIONALA;3
6508;Urmatoarele afirmatii despre curentul de magnetizare sunt adevarate:;nu este un regim tranzitoriu amortizat;este direct proportional cu puterea transformatorului;are un caracter puternic aperiodic;-;-;BC;PROFESIONALA;5
6509;Urmatoarele afirmatii despre curentul de magnetizare sunt false:;este un regim tranzitoriu amortizat;este invers proportional cu puterea transformatorului;are un caracter puternic aperiodic;-;-;B;PROFESIONALA;6
6510;Referitor la componenta aperiodica a curentului de magnetizare urmatoarele afirmatii sunt adevarate:;componenta aperiodica este neglijabila comparativ cu armonica fundamentala;dintre armonicile superioare ramane preponderenta armonica a doua;armonicile multiplu de trei se inchid prin infasurarile conectate in triunghi si nu circula prin bobinele releelor;-;-;BC;PROFESIONALA;2
6511;Referitor la un transformator de putere urmatoarele afirmatii sunt adevarate:;raportul dintre curentul din primar si cel din secundar este invers proportional cu raportul dintre tensiunea primara si tensiunea secundara;raportul dintre curentul din primar si cel din secundar este direct proportional cu raportul dintre tensiunea primara si tensiunea secundara;raportul dintre curentul din primar si cel din secundar este invers proportional cu raportul de transformare al transformatorului de putere;raportul dintre curentul din primar si cel din secundar este direct proportional cu raportul de transformare al transformatorului de putere;-;AC;PROFESIONALA;3
6512;In cazul echipamentelor cu microprocesoare care au mai multe functii de protectie si automatizari, inaintea inceperii efective a lucrarilor de verificare, este necesara:;salvarea configuratiei si a parametrizarilor de exploatare intr-un fisier.;nu este necesara salvarea configuratiei si a parametrizarilor de exploatare deoarece aceste setari se modifica numai cu parola.;anularea (blocarea) temporara a tuturor functiilor, cu exceptia celei care se verifica.;-;-;AC;PROFESIONALA;2
6513;Lucrarile prevazute in normativul NTE 002/03/00, vor fi efectuate de:;personal cu o calificare corespunzatoare, acceptat si recunoscut in acest sens de unitatea de exploatare.;pentru echipamentele multifunctionale cu microprocesoare verificarea se face de o formatie in componenta careia trebuie sa fie cel putin un maistru sau un inginer cu pregatire profesionala corespunzatoare.;este suficient ca personalul sa fie calificat corespunzator.;-;-;A;PROFESIONALA;2
6514;Conform normativului NTE 002/03/00, verificarile efectuate asupra dispozitivului RAR vor fi efectuate la o tensiune operativa de alimentare de:;0,7 x Un;0,8 x Un;Un;1,1 x Un;-;BCD;PROFESIONALA;2
6515;Mentionati care sunt principiile pe care se bazeaza releele pentru blocarea actionarii gresite a protectiilor de distanta la defecte in circuitele transformatoarelor de tensiune:;asimetria tensiunilor (la disparitia tensiunilor alternative pe una sau doua faze) si compararea tensiunilor din bobinajele secundare diferite ale unui transformator de tensiune.;compararea tensiunilor din bobinajele secundare ale unui transformator de tensiune instalat pe bare si ale unui transformator instalat pe line.;viteza de variatie a curentului din linia protejata.;diferenta de unghi dintre tensiunea de bara si tensiunea liniei protejate.;-;ABC;PROFESIONALA;5
6516;Ce tip de scheme pentru blocaj, se utilizeaza impotriva actionarii gresite a protectiilor de distanta, la defecte in circuitele transformatoarelor de tensiune care alimenteaza aceste relee?;cu relee de tensiune conectate la un filtru de secventa homopolara, conectat la circuitul secundar al transformatoarelor de tensiune.;cu relee polarizate, care controleaza viteza de variatie a curentului din linia protejata si blocheaza protectia de distanta daca variatia brusca a curentului este de cel putin 20 %.;cu relee bazate pe asimetria tensiunilor (la disparitia tensiunilor alternative pe una sau doua faze) si compararea tensiunilor din bobinajele secundare diferite ale unui transformator de tensiune sau din bobinajele secundare ale unui transformator de tensiune instalat pe bare si ale unui transformator instalat pe line.;-;-;AC;PROFESIONALA;5
6517;Functionarea sigura, fara vibratii a elementului de masura a impedantei din releul de distanta, RD 110 se asigura prin:;tipul releelor intermediare;intarirea presiunii pe contact printr-un impuls de la un transformator inseriat in circuitul de excitare a releelor de declansare E.;preorientarea contactului cu ajutorul resoartelor antagoniste.;alegerea unei caracteristici de functionare in trepte.;-;B;PROFESIONALA;6
6518;La releele de timp electromagnetice, ca si la altele, se folosesc unele particularitati de schema dintre care mentionam:;micsorarea timpului de lucru prin marirea curentului la actionarea releelor.;marirea stabilitatii termice a infasurarii releului prin introducerea unei rezistente in serie cu bobina releelor.;montarea unor capacitati in serie pe contactele releelor pentru reducerea fenomenului de scanteiere.;-;-;AB;PROFESIONALA;5
6519;Care din urmatoarele afirmatii reprezinta particularitati ale protectiei maximale cu blocaj de tensiune minima:;are sensibilitate crescuta.;are o selectivitate mai buna.;actioneaza la curenti mai mici decat curentul de reglaj, deoarece curentii mari produc scaderi semnificative ale tensiunii, caz in care protectia este blocata.;blocajul are rolul de a evita actionarea protectiei in cazul suprasarcinii care nu provoaca, paralel cu cresterea curentilor, si o scadere insemnata a tensiunii.;-;AD;PROFESIONALA;5
6521;Pentru un releu FRC-2a, indicati care este domeniul de reglaj al curentului de succesiune inversa si puntile aferente:;schema de conectare cu 2 transformatoare de curent: 0,8....1,8 A si puntea 17-18;schema de conectare cu 3 transformatoare de curent: 1....2 A ,si puntea 17-19;schema de conectare cu 2 transformatoare de curent: 1,6....3,6 A si puntea 17-19;schema de conectare cu 3 transformatoare de curent: 2....4 A ,si puntea 17-18;-;AC;PROFESIONALA;3
6522;In compunerea dispozitivului de RAR tip OZ 111 intra mai multe grupuri de relee, care au urmatoarele functii:;releele R,S,T,N, sesizeaza demarajele primite de la protectia de distanta.;releul M asigura mentinerea schemei de RAR in functiune, pina la efectuarea comenzii de reanclansare.;releul H realizeaza declansarea trifazica.;releul G realizeaza prelungirea treptei rapide a protectiei de distanta, la comanda manuala de inchidere a intrerupatorului, indiferent de pozitia cheii de RAR.;-;ACD;PROFESIONALA;6
6523;Precizati care din urmatoarele caracteristici sunt asociate releului RBDT:;timp de actionare la disparitia tensiunii pe bare: max. 20 ms.;curentul homopolar de blocaj: minim 0,5 In.;timp de actionare la disparitia tensiunii pe bare: max. 200 ms.;curentul homopolar de blocaj: 1 In.;-;AB;PROFESIONALA;3
6524;Functionarea dispozitivului de RAR tip RAR-1MT cu echipament de teleprotectie se face:;Cu eclisa Z pe pozitia 1.;Cu eclisa A pe pozitia 2.;Cu eclisa U pe pozitia 1.;Cu eclisa V pe pozitia 2.;-;B;PROFESIONALA;2
6525;La o LEA 20 kV echipata cu dispozitiv RAR-2c, acesta va functiona:;numai la declansarea prin protectia maximala treapta a 2-a.;numai la declansarea prin protectia maximala treapta 1-a.;la declansarea prin orice protectie, daca s-a inchis corect CSA-ul n.i. al intreruptorului.;la declansarea prin orice protectie daca s-a inchis corect CSA-ul n.i. al intreruptorului calaretul (comutatorul pas cu pas) nu a ajuns la capatul cursei.;-;D;PROFESIONALA;3
6526;Durata curentului de soc de magnetizare la un trafo de putere:;depinde de parametrii transformatorului si ai retelei.;poate atinge 2 - 3 secunde.;creste cu puterea transformatorului.;-;-;ABC;PROFESIONALA;3
6527;In releul de RAR OZ 111 releul M are urmatoarea functie:;realizeaza declansarea trifazata.;initiaza functionarea releului RAR cind primeste inpuls de la protectie.;realizeaza prelungirea treptei rapide a protectiei de distanta, la defecte monofazate.;realizeaza pauzele de RAR monofazata sau trifazata.;-;C;PROFESIONALA;5
6528;In afara infasurarii principale utilizate pentru compensare, bobina de stingere mai are:;un transformator de curent cu raportul de In/1A;un transformator de curent cu raportul de In/5A;un transformator de tensiune cu raportul de Un /100radical(3) V;un transformator de tensiune cu raportul de Un /100V;un transformator de tensiune cu raportul de Un /100/3V;BD;PROFESIONALA;5
6529;Releul directional tip ASOT are urmatoarele caracteristici in functie de varianta constuctiva:;curentul nominal 1 A sau 5 A;tensiunea nominala 100/radical(3) V;tensiunea nominala 100/3V;unghiul de maxima sensibilitate 75 - 80 grade inductiv;unghiul de maxima sensibilitate 60 grade capacitiv;ABD;PROFESIONALA;3
6530;Elementele componente ale dispozitivelor de protectie impotriva punerilor la pamant sunt:;modulul filtru de armonici superioare;modulul amplificator;modulul comparatie;modulul de alimentare;modulul de iesire;ABCDE;PROFESIONALA;2
6532;Comutatorul pas cu pas din releul RAR-2c serveste la:;limitarea numarului total de reanclansari posibile.;limitarea numarului total de declansari posibile.;stabilirea posibilitatii de a efectua unul sau doua cicluri de RAR.;-;-;A;PROFESIONALA;3
6533;O statie cu neutrul tratat prin rezistor pe partea de medie tensiune. La intreruperea rezistorului si aparitia unei puneri la pamant in reteaua de medie tensiune transformatorul de putere declanseaza prin:;protectia maximala de curent a transformatorului 110/M.T.;protectia maximala homopolara de tensiune.;protectia homopolara de curent de pe RN.;-;-;B;PROFESIONALA;5
6536;O LEA de 110 kV echipata cu TT pe linie si releu RBDT pentru blocarea protectiei de distanta, la declansarea intreruptorului automat de jt. ce protejeaza secundarele TT, care element din RBDT blocheaza si deblocheaza functionarea protectiei de distanta dupa cum urmeaza:;releul RTo deblocheaza protectia la disparitia tensiunii pe una sau doua faze din bucla de masura a statiei.;releul RTB blocheaza protectia la disparitia tensiunii de pe cele trei faze ale buclei de masura de pe barele statiei.;releul RIo deblocheaza functionarea protectiei la defecte cu pamantul.;releele RTL si RTB deblocheaza functionarea protectiei la defecte bifazate fara pamant.;-;BCD;PROFESIONALA;6
6538;Schema cu doua transformatoare de curent si cu un releu alimentat cu diferenta curentilor, se foloseste pentru:;Protectia la scurtcircuite trifazate.;Protectia la scurtcircuite bifazate.;Protectia la scurtcircuite monofazate.;Curentul prin releu este de radical(2) ori mai mare decit curentul de faza in cazul scurtcircuitelor trifazate.;Schema nu se foloseste la protectia impotriva scurtcircuitelor.;AB;PROFESIONALA;3
6539;Schema de conectare a transformatoarelor de curent in triunghi si a releelor in stea prezinta urmatoarele caracteristici in functionare:;Releele sunt parcurse de curentii secundari si actioneaza la orice fel de scurtcircuit intre faze.;Curentii prin relee sunt de radical(2) ori mai mari decat curentii pe faza.;Curentii prin relee sunt defazati fata de curentii pe faza cu 60 grade.;Curentii de secventa homopolara se inchid in infasurarile secundare legate in triunghi.;Curentii de secventa inversa se inchid in infasurarile secundare legate in triunghi.;AD;PROFESIONALA;5
